source,target,capacity,dist,src_lat,src_lon,dst_lat,dst_lon,src_city,dst_city
ABQ,AMA,34600.0,278.0,35.039976,-106.608925,35.219398,-101.706001,Albuquerque,Amarillo
ABQ,ATL,4313980.0,1269.0,35.039976,-106.608925,33.6367,-84.428101,Albuquerque,Atlanta
ABQ,AUS,3501800.0,619.0,35.039976,-106.608925,30.197535,-97.662015,Albuquerque,Austin
ABQ,AXX,32400.0,121.0,35.039976,-106.608925,36.422001,-105.290001,Albuquerque,Angel Fire
ABQ,AZA,88000.0,313.0,35.039976,-106.608925,33.3078,-111.654999,Albuquerque,Mesa
ABQ,BHM,98180.0,1139.0,35.039976,-106.608925,33.562901,-86.753502,Albuquerque,Birmingham
ABQ,BNA,1324090.0,1123.0,35.039976,-106.608925,36.1245,-86.6782,Albuquerque,Nashville
ABQ,BUR,1072600.0,672.0,35.039976,-106.608925,34.197703,-118.356378,Albuquerque,Burbank
ABQ,BWI,1475600.0,1670.0,35.039976,-106.608925,39.1754,-76.668297,Albuquerque,Baltimore
ABQ,CID,33248.0,934.0,35.039976,-106.608925,41.884701,-91.7108,Albuquerque,Cedar Rapids
ABQ,CLE,31200.0,1411.0,35.039976,-106.608925,41.411701,-81.8498,Albuquerque,Cleveland
ABQ,CNM,91800.0,230.0,35.039976,-106.608925,32.337501525878906,-104.26300048828124,Albuquerque,Carlsbad
ABQ,COS,37771.0,280.0,35.039976,-106.608925,38.805801,-104.700996,Albuquerque,Colorado Springs
ABQ,CYS,28253.0,433.0,35.039976,-106.608925,41.155701,-104.811997,Albuquerque,Cheyenne
ABQ,DAL,5492800.0,580.0,35.039976,-106.608925,32.847099,-96.851799,Albuquerque,Dallas
ABQ,DEN,10387003.0,349.0,35.039976,-106.608925,39.861698150635,-104.672996521,Albuquerque,Denver
ABQ,DFW,7893710.0,569.0,35.039976,-106.608925,32.896801,-97.038002,Albuquerque,Dallas-Fort Worth
ABQ,DMN,3600.0,202.0,35.039976,-106.608925,32.262298584,-107.721000671,Albuquerque,Deming
ABQ,DRO,215000.0,159.0,35.039976,-106.608925,37.151501,-107.753998,Albuquerque,Durango
ABQ,DSM,34436.0,833.0,35.039976,-106.608925,41.534,-93.663101,Albuquerque,Des Moines
ABQ,ELP,2843250.0,223.0,35.039976,-106.608925,31.807199,-106.377998,Albuquerque,El Paso
ABQ,FMN,200000.0,149.0,35.039976,-106.608925,36.741199,-108.230003,Albuquerque,Farmington
ABQ,GJT,4740.0,301.0,35.039976,-106.608925,39.126663,-108.529387,Albuquerque,Grand Junction
ABQ,GRR,39900.0,1253.0,35.039976,-106.608925,42.88079834,-85.52279663,Albuquerque,Grand Rapids
ABQ,GUP,2834.0,128.0,35.039976,-106.608925,35.511653,-108.788166,Albuquerque,Gallup
ABQ,HOU,3711200.0,759.0,35.039976,-106.608925,29.645399,-95.2789,Albuquerque,Houston
ABQ,HRL,44000.0,807.0,35.039976,-106.608925,26.228500366210938,-97.65440368652344,Albuquerque,Harlingen
ABQ,IAD,950267.0,1628.0,35.039976,-106.608925,38.9445,-77.455803,Albuquerque,Dulles
ABQ,IAH,2871678.0,744.0,35.039976,-106.608925,29.984399795532227,-95.34140014648438,Albuquerque,Houston
ABQ,IFP,91620.0,450.0,35.039976,-106.608925,35.157398,-114.559998,Albuquerque,Bullhead City
ABQ,IND,43400.0,1161.0,35.039976,-106.608925,39.7173,-86.294403,Albuquerque,Indianapolis
ABQ,JAX,49090.0,1480.0,35.039976,-106.608925,30.492469,-81.687813,Albuquerque,Jacksonville
ABQ,JFK,1283400.0,1826.0,35.039976,-106.608925,40.639447,-73.779317,Albuquerque,New York
ABQ,LAS,7028980.0,486.0,35.039976,-106.608925,36.083361,-115.151817,Albuquerque,Las Vegas
ABQ,LAX,3980560.0,677.0,35.039976,-106.608925,33.942501,-118.407997,Albuquerque,Los Angeles
ABQ,LBB,525665.0,290.0,35.039976,-106.608925,33.663601,-101.822998,Albuquerque,Lubbock
ABQ,LGB,1248600.0,664.0,35.039976,-106.608925,33.816523,-118.149891,Albuquerque,Long Beach
ABQ,LIT,38700.0,817.0,35.039976,-106.608925,34.729582,-92.223728,Albuquerque,Little Rock
ABQ,LRU,59400.0,190.0,35.039976,-106.608925,32.289398,-106.921997,Albuquerque,Las Cruces
ABQ,MAF,34600.0,332.0,35.039976,-106.608925,31.942499,-102.202003,Albuquerque,Midland
ABQ,MCI,1327200.0,718.0,35.039976,-106.608925,39.2976,-94.713898,Albuquerque,Kansas City
ABQ,MCO,312000.0,1553.0,35.039976,-106.608925,28.429399490356445,-81.30899810791016,Albuquerque,Orlando
ABQ,MDW,2166400.0,1121.0,35.039976,-106.608925,41.785999,-87.752403,Albuquerque,Chicago
ABQ,MEM,2004480.0,942.0,35.039976,-106.608925,35.0424,-89.9767,Albuquerque,Memphis
ABQ,MKE,45841.0,1142.0,35.039976,-106.608925,42.947201,-87.896599,Albuquerque,Milwaukee
ABQ,MSP,1535424.0,981.0,35.039976,-106.608925,44.880081,-93.221741,Albuquerque,Minneapolis
ABQ,MSY,34600.0,1014.0,35.039976,-106.608925,29.993401,-90.258003,Albuquerque,New Orleans
ABQ,MTJ,35043.0,250.0,35.039976,-106.608925,38.5098,-107.893997,Albuquerque,Montrose
ABQ,OAK,1345400.0,889.0,35.039976,-106.608925,37.720085,-122.221184,Albuquerque,Oakland
ABQ,OKC,88990.0,510.0,35.039976,-106.608925,35.393388,-97.598248,Albuquerque,Oklahoma City
ABQ,ONT,1473380.0,630.0,35.039976,-106.608925,34.056,-117.600998,Albuquerque,Ontario
ABQ,ORD,3933877.0,1118.0,35.039976,-106.608925,41.9786,-87.9048,Albuquerque,Chicago
ABQ,PDX,621713.0,1111.0,35.039976,-106.608925,45.588699,-122.598,Albuquerque,Portland
ABQ,PHX,10353553.0,328.0,35.039976,-106.608925,33.435302,-112.005905,Albuquerque,Phoenix
ABQ,PIH,36000.0,631.0,35.039976,-106.608925,42.9098014831543,-112.59600067138672,Albuquerque,Pocatello
ABQ,PIT,34600.0,1486.0,35.039976,-106.608925,40.491501,-80.232903,Albuquerque,Pittsburgh
