Date,Close/Last,Volume,Open,High,Low
07/08/2022,$47.55,1739699,$48.35,$48.79,$47.09
07/07/2022,$48.69,2715482,$47.98,$49.18,$47.98
07/06/2022,$47.34,3089510,$47.91,$48.64,$46.525
07/05/2022,$47.65,2067643,$45.58,$47.685,$44.83
07/01/2022,$46.73,2350047,$45.88,$46.98,$45.17
06/30/2022,$46.29,2552078,$46.16,$47.17,$44.91
06/29/2022,$47.35,2394510,$48.63,$48.63,$46.535
06/28/2022,$48.56,5603168,$49.15,$50.05,$48.27
06/27/2022,$48.47,2870950,$48.75,$49.24,$47.51
06/24/2022,$48.57,4085247,$47.24,$48.59,$46.88
06/23/2022,$46.39,2703978,$46.09,$47.55,$45.34
06/22/2022,$45.82,2559298,$45.57,$46.70,$45.412
06/21/2022,$46.37,2383166,$46.36,$47.24,$46.18
06/17/2022,$45.18,6186285,$44.92,$46.47,$44.92
06/16/2022,$45.06,3510317,$46.67,$47.30,$44.28
06/15/2022,$48.69,3323849,$48.00,$49.46,$47.45
06/14/2022,$47.10,3394717,$47.05,$47.70,$46.625
06/13/2022,$46.76,3242743,$48.84,$49.21,$46.54
06/10/2022,$51.05,1947448,$52.00,$52.34,$50.55
06/09/2022,$53.17,1395592,$54.50,$54.595,$53.13
06/08/2022,$54.85,1597436,$56.25,$56.5086,$54.67
06/07/2022,$56.95,1947188,$55.85,$57.25,$55.85
06/06/2022,$56.51,2782717,$56.15,$57.68,$55.545
06/03/2022,$55.32,2587286,$55.38,$56.38,$55.09
06/02/2022,$56.35,2611045,$54.54,$56.675,$53.85
06/01/2022,$54.46,2323681,$54.63,$55.73,$53.58
05/31/2022,$54.81,4388258,$55.37,$55.72,$54.06
05/27/2022,$56.04,2656745,$55.06,$56.25,$55.00
05/26/2022,$54.44,3833526,$50.92,$54.809,$50.72
05/25/2022,$50.60,2506427,$48.86,$50.95,$48.83
05/24/2022,$49.99,4140042,$51.04,$51.19,$49.24
05/23/2022,$51.95,2593042,$52.28,$53.04,$51.37
05/20/2022,$51.76,3579360,$51.67,$52.58,$49.97
05/19/2022,$50.46,2885084,$49.81,$51.185,$49.75
05/18/2022,$50.76,4415576,$51.98,$52.94,$50.195
05/17/2022,$53.08,4567752,$52.44,$53.146,$51.31
05/16/2022,$50.94,2540964,$50.75,$51.61,$50.108
